CustomerID,Company,LinkedIn
8292-TYSPY,1776,
2359-QWQUL,1776,
6298-QDFNH,1776,
4140-WJAWW, CMRubinWorld,
6331-LWDTQ, CMRubinWorld,
3926-CUQZX,?ÄNI Private Resorts,
1157-BQCUW,1 Global Translators,
1597-FZREH,1 Global Translators,
2003-CKLOR,1 Million for 1 Billion,
6356-ELRKD,1 Million for 1 Billion,
8387-MOJJT,10000 Black Interns,
3177-LASXD,10000 Black Interns,
6032-KRXXO,10Power,
3512-IZIKN,10Power,https://www.linkedin.com/company/10xinnovationlab/
6352-TWCAU,10X Innovation,https://www.linkedin.com/company/10xinnovationlab/
6141-OOXUQ,10X Innovation,https://www.linkedin.com/company/10xinnovationlab/
1262-OPMFY,10X Innovation Lab,https://www.linkedin.com/company/10xinnovationlab/
1084-UQCHV,10X Innovation Lab,
3331-HQDTW,123Pronto S.R.L.,
2955-BJZHG,123Pronto S.R.L.,
2955-PSXOE,15 Center,
8718-PTMEZ,15 Center,
7762-URZQH,15 Center LLC,
2207-OBZNX,15 Center LLC,
5442-XSDCW,150 Birds,
6142-VSJQO,150 Birds,
2911-UREFD,150birds,
9300-RENDD,150birds,
3049-NDXFL,15Center,
1114-CENIM,15Center,
5673-TIYIB,15Center LLC,
3106-ULWFW,15Center LLC,
1228-FZFRV,1build,
0925-VYDLG,1build,
4628-WQCQQ,1Build (YCW20),
6289-CPNLD,1Build (YCW20),
1644-IRKSF,1GLOBAL TRANSLATORS - EU- SPAIN,
9787-XVQIU,1GLOBAL TRANSLATORS - EU- SPAIN,
3705-PSNGL,1Up Health,
3023-GFLBR,1Up Health,
2058-DCJBE,21 Staff LLC,
0524-IAVZO,21 Staff LLC,
2606-RMDHZ,22d Consulting,
2737-YNGYW,22d Consulting,
5364-XYIRR,24 HOUR TIRE COMPANY,
7614-QVWQL,24 HOUR TIRE COMPANY,
6861-OKBCE,247 Commerce,
5159-YFPKQ,247 Commerce,
4829-AUOAX,24SevenOffice,
7927-AUXBZ,24SevenOffice,
9158-VCTQB,25 West End,
1809-DMJHQ,25 West End,
1383-EZRWL,2gether,
6923-EFPNL,2gether,
6311-UEUME,3 amigos,
2514-GINMM,3 amigos,
8563-IIOXK,3:5 Creative[s] Agency,
4285-GYRQC,3:5 Creative[s] Agency,
8593-WHYHV,33 Hilding Investments,
0778-NELLA,33 Hilding Investments,
4423-YLHDV,33 Holding,
8337-MSSXB,33 Holding,
8199-ZLLSA,360 Labs,
3803-KMQFW,360 Labs,
4625-EWPTF,3dc,
6804-GDMOI,3dc,
0107-YHINA,3DPrinterOS,
8182-BJDSI,3DPrinterOS,
4116-TZAQJ,3H Partners,
2482-CZGBB,3H Partners,
9804-ICWBG,3M - UAE,
7181-BQYBV,3M - UAE,
5318-IXUZF,3MetaD,
6629-CZTTH,3MetaD,
3198-VELRD,410 Web Studio,
6204-IEUXJ,410 Web Studio,
9436-ZBZCT,4E Capital,
5087-SUURX,4E Capital,
7198-GLXTC,5 Hormigas Caribe,
4529-CKBCL,5 Hormigas Caribe,
8380-PEFPE,500 Startups,
2506-CLAKW,500 Startups,
9048-JVYVF,55B labs,
4929-BSTRX,55B labs,
7530-HDYDS,"55B Labs, inc.",
2225-ZRGSG,"55B Labs, inc.",
3096-IZETN,55ip,
5271-YNWVR,55ip,
5922-ABDVO,5th Avenue Deli and Market,
1583-IHQZE,5th Avenue Deli and Market,
2794-XIMMO,64Facets,
0151-ONTOV,64Facets,
9172-ANCRX,64Facets Fine Jewelry,
4667-OHGKG,64Facets Fine Jewelry,
6910-HADCM,6AM development,
1660-HSOOQ,6AM development,
7845-URHJN,829 Studios,
7253-UVNDW,829 Studios,
3034-ZBEQN,8minute solar energy llc,
0320-JDNQG,8minute solar energy llc,
4816-LXZYW,9fin,
7180-PISOG,9fin,
4911-BANWH,A B Melwani Private Ltd,
3571-RFHAR,A B Melwani Private Ltd,
8496-EJAUI,A Beam Consulting,
6140-QNRQQ,A Beam Consulting,
6365-MTGZX,A Dozen Cousins,
1794-HBQTJ,A Dozen Cousins,
7517-SAWMO,A kristi shpi,
4307-KTUMW,A kristi shpi,
4143-HHPMK,A.P. Moeller-Maersk,https://www.linkedin.com/company/maersk-group/
7488-MXJIV,A.P. Moeller-Maersk,https://www.linkedin.com/company/maersk-group/
1527-SXDPN,A2B,
1493-AMTIE,A2B,
0923-PNFUB,AA Real Estate Group,
2027-FECZV,AA Real Estate Group,
8634-CILSZ,AAA,
8949-JTMAY,AAA,
6682-QJDGB,AAF (The Alliance of American Football),
3211-ILJTT,AAF (The Alliance of American Football),
3494-JCHRQ,AaNeel Infotech,
0235-KGSLC,AaNeel Infotech,
9530-EHPOH,AANSUJ INC,
2320-JRSDE,AANSUJ INC,
6474-FVJLC,Aardvark Compare,
0601-WZHJF,Aardvark Compare,
